forecast_time,temperature,fetch_time,location
2025-07-25 23:00:00,26.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 22:00:00,26.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 21:00:00,26.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 20:00:00,26.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 19:00:00,26.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 18:00:00,26.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 17:00:00,27.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 16:00:00,27.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 15:00:00,28.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 14:00:00,28.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 13:00:00,29.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 12:00:00,30.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 11:00:00,32.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 10:00:00,33.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 09:00:00,33.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 08:00:00,34.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 07:00:00,34.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 06:00:00,34.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 05:00:00,33.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 04:00:00,32.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 03:00:00,31.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 02:00:00,29.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 01:00:00,28.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-25 00:00:00,27.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 23:00:00,26.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 23:00:00,26.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 22:00:00,26.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 22:00:00,26.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 21:00:00,26.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 21:00:00,26.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 20:00:00,26.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 20:00:00,26.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 19:00:00,26.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 19:00:00,26.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 18:00:00,26.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 18:00:00,27.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 17:00:00,26.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 17:00:00,27.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 16:00:00,27.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 16:00:00,26.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 15:00:00,27.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 15:00:00,27.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 14:00:00,28.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 14:00:00,27.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 13:00:00,29.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 13:00:00,27.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-24 12:00:00,29.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-24 12:00:00,28.5,2025-07-18 23:57:23.673583,Bangkok
